time_s,dt_ms,RPM,ICV,IntB1,IntB2,O2_B1,O2_B2,AddB1,AddB2,Load,Timing
0.00,0,820.000,-0.994,-2.000,0.000,0.356,0.781,-3.000,2.000,1.300,4.500
2.13,2128,810.000,-0.994,-4.000,1.000,0.107,0.239,-3.000,2.000,1.300,3.000
4.28,2150,820.000,-0.994,2.000,0.000,0.126,0.063,-3.000,2.000,1.300,2.250
6.42,2141,830.000,-0.994,-1.000,1.000,0.772,0.777,-3.000,2.000,1.350,6.000
8.57,2148,810.000,-0.994,-1.000,-3.000,0.063,0.048,-3.000,2.000,1.350,3.000
10.72,2149,830.000,-0.994,4.000,3.000,0.116,0.072,-3.000,2.000,1.300,2.250
12.87,2154,840.000,-0.994,1.000,1.000,0.835,0.801,-3.000,2.000,1.300,4.500
15.02,2147,830.000,-0.994,-3.000,-3.000,0.703,0.664,-3.000,2.000,1.350,8.250
17.16,2141,800.000,-0.994,0.000,1.000,0.072,0.068,-3.000,2.000,1.300,3.000
19.31,2151,830.000,-0.994,1.000,2.000,0.806,0.801,-3.000,2.000,1.300,3.000
21.46,2147,810.000,-0.994,-3.000,-3.000,0.767,0.053,-3.000,2.000,1.350,2.250
23.61,2153,830.000,-0.994,-1.000,3.000,0.063,0.082,-3.000,2.000,1.300,2.250
25.76,2149,830.000,-0.994,3.000,0.000,0.156,0.737,-3.000,2.000,1.300,3.000
27.91,2150,830.000,-0.994,0.000,3.000,0.791,0.737,-3.000,2.000,1.300,3.000
30.06,2150,790.000,-0.994,0.000,-3.000,0.068,0.097,-3.000,2.000,1.300,4.500
32.21,2149,840.000,-0.994,4.000,3.000,0.791,0.165,-3.000,2.000,1.300,2.250
34.36,2149,830.000,-0.994,-2.000,-1.000,0.781,0.772,-3.000,2.000,1.350,6.000
36.51,2150,800.000,-0.994,-1.000,-1.000,0.068,0.043,-3.000,2.000,1.300,3.000
38.66,2150,830.000,-0.994,3.000,3.000,0.767,0.752,-3.000,2.000,1.300,3.000
40.81,2150,810.000,-0.994,-3.000,-3.000,0.693,0.190,-3.000,2.000,1.350,8.250
42.96,2150,790.000,-0.994,1.000,3.000,0.087,0.718,-3.000,2.000,1.300,4.500
45.11,2151,810.000,-0.994,2.000,4.000,0.806,0.777,-3.000,2.000,1.300,3.750
47.26,2148,840.000,-0.994,-2.000,-2.000,0.674,0.689,-3.000,2.000,1.350,4.500
49.41,2150,820.000,-0.994,2.000,-1.000,0.126,0.043,-3.000,2.000,1.300,3.000
51.56,2152,830.000,-0.994,-1.000,0.000,0.821,0.781,-3.000,2.000,1.300,4.500
53.71,2148,810.000,-0.994,-5.000,-4.000,0.082,0.038,-3.000,2.000,1.350,2.250
55.86,2151,840.000,-0.994,1.000,2.000,0.077,0.136,-3.000,2.000,1.300,3.750
58.01,2151,820.000,-0.994,0.000,-2.000,0.796,0.708,-3.000,2.000,1.350,3.000
60.15,2146,830.000,-0.994,-1.000,2.000,0.068,0.077,-3.000,2.000,1.350,3.000
62.31,2153,840.000,-0.994,3.000,0.000,0.674,0.581,-3.000,2.000,1.300,2.250
64.46,2150,840.000,-0.994,-1.000,1.000,0.806,0.781,-3.000,2.000,1.350,4.500
66.61,2151,820.000,-0.994,-2.000,-2.000,0.068,0.058,-3.000,2.000,1.350,3.000
68.76,2147,830.000,-0.994,2.000,3.000,0.112,0.234,-3.000,2.000,1.300,2.250
70.90,2142,840.000,-0.994,0.000,0.000,0.806,0.762,-3.000,2.000,1.350,6.750
73.05,2150,770.000,-0.994,-3.000,-1.000,0.063,0.063,-3.000,2.000,1.300,2.250
75.20,2149,830.000,-0.994,2.000,3.000,0.068,0.297,-3.000,2.000,1.300,2.250
77.35,2150,860.000,-0.994,0.000,0.000,0.801,0.747,-3.000,2.000,1.350,8.250
79.49,2141,790.000,-0.994,-4.000,1.000,0.082,0.092,-3.000,2.000,1.300,4.500
81.64,2148,830.000,-0.994,1.000,2.000,0.068,0.786,-3.000,2.000,1.300,4.500
83.79,2150,820.000,-0.994,0.000,1.000,0.796,0.170,-3.000,2.000,1.300,4.500
85.94,2151,820.000,-0.994,-2.000,-2.000,0.072,0.336,-3.000,2.000,1.400,6.000
88.09,2149,810.000,-0.994,3.000,3.000,0.341,0.063,-3.000,2.000,1.250,2.250
90.24,2151,840.000,-0.994,0.000,2.000,0.811,0.806,-3.000,2.000,1.300,4.500
92.39,2150,810.000,-0.994,-1.000,-3.000,0.077,0.493,-3.000,2.000,1.350,4.500
94.53,2148,820.000,-0.994,3.000,2.000,0.757,0.654,-3.000,2.000,1.300,3.000
96.69,2153,830.000,-0.994,-2.000,-2.000,0.781,0.043,-3.000,2.000,1.400,4.500
98.83,2148,850.000,-0.994,0.000,0.000,0.072,0.063,-3.000,2.000,1.300,3.000
100.99,2153,830.000,-0.994,1.000,2.000,0.801,0.791,-3.000,2.000,1.300,4.500
103.14,2149,770.000,-0.994,-1.000,-2.000,0.072,0.698,-3.000,2.000,2.350,0.750
105.29,2151,1980.000,-0.994,-4.000,-3.000,0.855,0.400,-3.000,2.000,1.200,-13.500
107.43,2148,1360.000,-0.994,0.000,1.000,0.752,0.806,-3.000,2.000,1.150,0.750
109.59,2152,950.000,-0.994,-2.000,-3.000,0.869,0.855,-3.000,2.000,1.250,2.250
111.73,2148,860.000,-0.994,-7.000,-8.000,0.845,0.801,-3.000,2.000,1.350,4.500
113.89,2151,820.000,-0.994,-11.000,-13.000,0.566,0.214,-3.000,2.000,1.350,3.000
116.04,2151,830.000,-0.994,-7.000,-7.000,0.082,0.043,-3.000,2.000,1.350,3.000
118.18,2148,840.000,-0.994,-2.000,-2.000,0.742,0.077,-3.000,2.000,1.300,6.000
120.33,2150,800.000,-0.994,-4.000,-5.000,0.063,0.043,-3.000,2.000,1.350,2.250
122.47,2140,840.000,-0.994,1.000,1.000,0.077,0.058,-3.000,2.000,1.300,4.500
124.62,2150,840.000,-0.994,0.000,0.000,0.718,0.581,-3.000,2.000,1.300,4.500
126.77,2149,830.000,-0.994,4.000,5.000,0.121,0.581,-3.000,2.000,1.300,3.000
128.93,2153,820.000,-0.994,1.000,1.000,0.733,0.229,-3.000,2.000,1.350,4.500
131.08,2149,830.000,-0.994,5.000,6.000,0.087,0.097,-3.000,2.000,1.300,2.250
133.22,2147,840.000,-0.994,8.000,4.000,0.806,0.777,-3.000,2.000,1.300,4.500
135.36,2141,820.000,-0.994,2.000,3.000,0.786,0.077,-3.000,2.000,1.300,4.500
137.51,2150,800.000,-0.994,2.000,1.000,0.068,0.664,-3.000,2.000,1.300,2.250
139.67,2153,830.000,-0.994,6.000,5.000,0.786,0.713,-3.000,2.000,1.300,4.500
141.81,2147,830.000,-0.994,0.000,0.000,0.762,0.737,-3.000,2.000,1.350,4.500
143.96,2152,790.000,-0.994,2.000,5.000,0.068,0.733,-3.000,2.000,1.300,3.000
146.11,2149,830.000,-0.994,3.000,3.000,0.816,0.116,-3.000,2.000,1.300,6.000
148.26,2150,800.000,-0.994,1.000,0.000,0.317,0.767,-3.000,2.000,1.300,4.500
150.41,2150,820.000,-0.994,-2.000,2.000,0.718,0.640,-3.000,2.000,1.350,3.000
152.56,2151,810.000,-0.994,2.000,-2.000,0.092,0.087,-3.000,2.000,1.300,6.000
154.71,2150,820.000,-0.994,0.000,3.000,0.772,0.767,-3.000,2.000,1.300,6.000
156.86,2151,800.000,-0.994,1.000,-3.000,0.112,0.684,-3.000,2.000,1.300,3.000
159.01,2148,820.000,-0.994,0.000,1.000,0.791,0.708,-3.000,2.000,1.300,4.500
161.15,2140,790.000,-0.994,-2.000,-4.000,0.068,0.288,-3.000,2.000,1.300,2.250
163.31,2160,830.000,-0.994,3.000,2.000,0.757,0.102,-3.000,2.000,1.300,2.250
165.47,2159,810.000,-0.994,-2.000,-1.000,0.772,0.777,-3.000,2.000,1.350,6.750
167.62,2150,750.000,-0.994,-1.000,0.000,0.068,0.072,-3.000,2.000,1.300,2.250
169.77,2150,830.000,-0.994,4.000,4.000,0.757,0.786,-3.000,2.000,1.300,3.000
171.94,2170,820.000,-0.994,-1.000,-2.000,0.762,0.757,-3.000,2.000,1.300,6.750
